"","Phylostratum","GeneID","Allen:4598","Allen:4596","Allen:4597","Allen:4573","Allen:4593","Allen:13005","Allen:4671","Allen:4675","Allen:4672","Allen:4679","Allen:4669","Allen:4667","Allen:4542","Allen:4644","Allen:4641","Allen:13008","Allen:10151","Allen:4648","Allen:4637"
"48",3,"ensg00000159200",5.8408164449331,5.8519066958358,6.16575210436663,5.61575272801315,5.70714180828644,6.01423614087192,6.11235641982203,5.77636953901029,5.7705977403882,5.69556390206477,5.88382175142302,5.76850894724441,5.73054694070109,5.43374066172735,5.62094888600825,5.98482849839987,5.85736682768453,5.7203867617244,5.67406636681575
"49",4,"ensg00000167535",6.23648124427671,6.48986068233396,6.32403132602647,6.60621073177051,6.03229499406358,6.44434936164397,7.05357408222938,6.53520555609322,6.1998503007993,6.42849764722266,6.56209885012012,6.6738875275799,6.70133172297578,6.88105173855867,6.47523329195689,6.34543254867433,6.79952107669919,6.40850716492531,6.71533473801931
"50",4,"ensg00000182389",5.5465720352125,6.28435849664896,6.03855413113502,5.56847360273967,5.05725744672594,6.01882101071314,6.12488848674318,6.61124956022404,6.33257916500853,5.99137667810287,7.00994623663475,6.40529169991282,6.05428407912822,5.59059415770693,6.10199278627706,6.23712084200876,6.72956940181425,6.05292425976067,6.10560727990845
"51",2,"ensg00000156052",6.46668198857247,6.66809529438413,7.16729280933693,6.60702110432464,6.58985758851411,6.60962127575462,6.40258779191885,6.97958407538609,6.30369974760087,6.83968767406084,7.18117145784782,6.56681183425336,6.95877708187522,6.76248660296374,6.5859119469946,6.75566603612355,7.15365066439307,6.37462349095741,6.79667436708684
"52",2,"ensg00000087460",10.406080257497,10.3581563787022,9.184498962465,10.6804107598276,9.45762417289846,9.54569731158267,8.29892856638885,8.2162886943056,8.58623071699938,10.1130538840452,9.77011247788811,9.26942968339732,10.5564866939875,10.9197916961013,10.4503866452543,9.99958333241434,9.50954993122186,9.44373707346859,10.0482462007599
"53",4,"ensg00000067191",6.59886325061488,6.95241087864322,7.37704970218941,7.37886764819073,7.83021679021318,7.42706707268503,6.96389816560625,7.85713921513011,6.45456671419354,7.37574766695194,8.05002104872844,7.78191090499756,7.1673754854163,6.94367505313421,7.134551284797,7.49778050352672,7.71157000360366,7.35014474001183,7.03683345385473
"54",6,"ensg00000180914",7.01112100507511,7.78328215935707,6.35687955870938,6.84078586929645,5.02624621873914,6.64009752724241,5.961597607449,5.62861736853864,5.66989034273607,6.84788491369387,6.93921491032459,6.79578327690773,7.58986059378339,6.33313137047162,7.21060183065705,6.86470424027798,6.39059899403472,6.9870051214338,7.30618752296643
"55",1,"ensg00000151067",7.15277774264897,7.08773367015239,7.20838627836233,7.3054383879665,7.17082284579905,7.33090372479781,7.89108243376275,7.00043721118566,7.14764048274187,7.39011536486802,7.24633985698834,6.96343262458148,7.44332414964592,7.23598070130101,7.50017627918822,7.54435954933031,7.449815798184,7.15725267480657,7.57316426087137
"56",2,"ensg00000184009",12.2225949134763,12.5476289364753,13.313795417453,12.7195172011903,12.605441431013,12.7492549242966,13.4181031253277,13.4124447098437,12.7040918302248,12.4971197690198,13.1333147286742,13.0716564690726,12.6557356321682,12.9734108775475,12.5109580075043,12.6991058930114,12.3740223687552,12.5598536087812,12.3904054402147
"57",1,"ensg00000157388",2.79108948446386,2.57650109192224,2.68794682455077,2.65322547050672,2.79313281404275,2.70477281061365,2.06151236274468,2.61171275266515,2.51727623210794,2.82251798891465,2.76164236673312,2.7658120077524,2.88753130341574,2.44287465607491,2.73810962967619,2.94404394011855,3.49919345251314,3.05569074742391,2.9224253133943
"58",5,"ensg00000126767",2.40422677683818,2.09179090439383,1.95399792112268,2.15722831868701,1.95531162271704,2.10887465967674,1.86808847228549,1.82962596488197,1.96650928399121,2.11636229304595,1.91888003008236,2.06497024484499,2.4302472811585,1.9195116453889,2.39878472556697,2.01198526251439,2.9357891349628,2.00031295238851,2.77033820407966
"59",1,"ensg00000102001",3.06432013736873,2.76309556907812,1.89401683540347,2.56546083739695,2.50273827005172,2.89565261257277,2.93537031369992,2.57281266285381,2.03947081097469,2.02269741506987,2.46248984426318,2.47235753598618,2.53811651304575,2.48992763838017,2.3470120382243,2.45107205584304,2.42002205657639,2.05676384032399,2.53856862030425
"60",1,"ensg00000196465",11.4917480847837,11.7035017308034,11.8311011318982,11.7084336042291,11.3020419965839,11.7013922671404,12.5125559870376,11.7453924446086,12.0618005478649,11.7697209385527,11.8882060311788,11.8270259832802,11.9221910737868,12.3744151299759,11.9174581671715,11.9794761135779,11.8595563036847,11.6109956440498,11.6992830394112
"61",1,"ensg00000065534",8.19642060543513,8.61219666067732,10.3503902171881,7.6598999721129,9.17784580777999,8.91125729910387,9.28009460427708,7.76597469257824,8.3637337258507,7.55489875781274,7.42033112912024,7.67139897087777,7.29268541384264,7.76794913999358,7.93753877048957,9.35960077560931,8.40912696883252,8.0375180983621,7.93467299283588
"62",1,"ensg00000142185",4.69092365270883,5.88502307616992,5.47854784747961,5.54231515190513,4.86829914377577,5.40744529684257,6.15965500410922,5.52983745367365,6.65364241386204,5.47987810561778,5.73185245869342,5.74278448750099,5.92833407493773,5.15995230205078,5.9408563637869,6.28375835406209,5.111361706308,5.42443247300128,5.59955606681722
"63",1,"ensg00000103319",3.96527144303738,4.21123549268745,4.21569507517749,4.43844564628396,3.88521717836557,4.00492610120537,4.6441585337997,4.17935070532981,3.45363321881117,4.03287944391103,4.57296611203144,4.01235824597377,4.15051177255619,4.71274964095248,3.94530803178182,4.31423307614974,4.03664766159317,4.00390529349986,4.36311641459655
"64",1,"ensg00000188386",3.37174281802882,3.62000005624614,3.68727744044579,3.05174485153556,3.22802697405833,3.48986736253643,3.89300624455889,3.46510330828262,3.34887495928063,3.44851721053702,3.30540406805042,3.3896810486734,3.24456704044003,2.84700126888573,3.23028680588154,3.18788585046951,4.4408175383926,3.38441030362464,3.88361365104391
